X,Y
14.07,0.01018635816
14.08,0.009892676287
14.09,0.009606612037
14.1,0.009327996885
14.11,0.009056665066
14.12,0.008792453565
14.13,0.008535202103
14.14,0.008284753122
14.15,0.008040951768
14.16,0.007803645873
14.17,0.007572685936
14.18,0.007347925106
14.19,0.007129219159
14.2,0.006916426479
14.21,0.006709408034
14.22,0.006508027355
14.23,0.00631215051
14.24,0.006121646083
14.25,0.005936385149
14.26,0.005756241246
14.27,0.005581090351
14.28,0.005410810855
14.29,0.005245283532
14.3,0.005084391516
14.31,0.004928020273
14.32,0.00477605757
14.33,0.004628393449
14.34,0.004484920197
14.35,0.00434553232
14.36,0.00421012651
14.37,0.004078601618
14.38,0.003950858624
14.39,0.003826800606
14.4,0.003706332714
14.41,0.003589362135
14.42,0.003475798067
14.43,0.003365551686
14.44,0.00325853612
14.45,0.003154666413
14.46,0.003053859501
14.47,0.002956034178
14.48,0.002861111066
14.49,0.002769012589
14.5,0.002679662938
14.51,0.002592988046
14.52,0.002508915554
14.53,0.002427374784
14.54,0.002348296711
14.55,0.00227161393
14.56,0.002197260631
14.57,0.002125172567
14.58,0.002055287029
14.59,0.001987542812
14.6,0.001921880194
14.61,0.001858240901
14.62,0.001796568087
14.63,0.001736806298
14.64,0.001678901452
14.65,0.001622800808
14.66,0.001568452942
14.67,0.001515807719
14.68,0.001464816268
14.69,0.001415430953
14.7,0.001367605355
14.71,0.001321294239
14.72,0.001276453533
14.73,0.001233040303
14.74,0.00119101273
14.75,0.001150330084
14.76,0.001110952702
14.77,0.001072841964
14.78,0.00103596027
14.79,0.001000271019
14.8,0.0009657385869
14.81,0.0009323283007
14.82,0.0009000064221
14.83,0.0008687401236
14.84,0.0008384974681
14.85,0.0008092473887
14.86,0.0007809596684
14.87,0.0007536049203
14.88,0.0007271545681
14.89,0.0007015808269
14.9,0.0006768566847
14.91,0.0006529558835
14.92,0.0006298529013
14.93,0.0006075229347
14.94,0.0005859418807
14.95,0.00056508632
14.96,0.0005449335002
14.97,0.0005254613191
14.98,0.0005066483084
14.99,0.0004884736181
15,0.0004709170008
15.01,0.0004539587964
15.02,0.0004375799171
15.03,0.000421761833
15.04,0.0004064865574
15.05,0.0003917366331
15.06,0.0003774951183
15.07,0.0003637455733
15.08,0.0003504720474
15.09,0.0003376590658
15.1,0.0003252916171
15.11,0.000313355141
15.12,0.000301835516
15.13,0.0002907190478
15.14,0.0002799924578
15.15,0.0002696428715
15.16,0.0002596578079
15.17,0.0002500251683
15.18,0.0002407332261
15.19,0.0002317706164
15.2,0.0002231263258
15.21,0.0002147896828
15.22,0.0002067503484
15.23,0.000198998306
15.24,0.0001915238534
15.25,0.0001843175928
15.26,0.0001773704229
15.27,0.0001706735299
15.28,0.0001642183797
15.29,0.0001579967096
15.3,0.0001520005203
15.31,0.0001462220685
15.32,0.0001406538593
15.33,0.000135288639
15.34,0.000130119388
15.35,0.0001251393138
15.36,0.0001203418443
15.37,0.0001157206215
15.38,0.0001112694946
15.39,0.0001069825142
15.4,0.0001028539263
